N#Cc2nc(C1CC1)oc2N3CCNCC3,3,0.399087642,0,-0.343867167,0
N#Cc2nc(C1CC1)oc2N3CCNCC3,0,0.034973735,0,-0.006427424,0
N#Cc2nc(C1CC1)oc2N3CCNCC3,10,2.560409179,0,-2.600160686,0
N#Cc2nc(C1CC1)oc2N3CCNCC3,13,3.299695881,0,-3.16122121,0
N#Cc2oc(C1CC1)nc2N3CCNCC3,8,0.574509262,0,1.521424746,0
N#Cc2oc(C1CC1)nc2N3CCNCC3,0,-0.238319049,0,1.521424746,0
N#Cc2oc(C1CC1)nc2N3CCNCC3,10,2.560409179,0,1.521424746,0
N#Cc2oc(C1CC1)nc2N3CCNCC3,13,3.292922311,0,1.521424746,0
Nc1conc1c2ccccc2,4,-0.934614321,0,1.059453669,0
Nc1cnoc1c2ccccc2,3,-0.721730716,0,1.521424746,0
Cc1noc2ccc(Br)cc12,2,-1.359137407,0,1.483931441,0
CC2ON=C1C=CC(Br)=CC12,3,-1.182333425,0,1.521424746,0
CC(Br)c1nc(C(F)(F)F)no1,10,-1.333701963,0,1.336636315,0
CC(Br)c1nc(C(F)(F)F)no1,4,0.383052253,0,-0.393411891,0
CC(Br)c1noc(C(F)(F)F)n1,4,-1.262648604,0,1.521424746,0
CC(Br)c1noc(C(F)(F)F)n1,11,0.219657174,0,1.521424746,0
