SMILES,id,QM,Reserve1,NMR,Reserve2 
C=CC(C)(C)C,0,-0.387290807,0,0.418390513,0 
c1ccc(cn1)Br,3,-0.862259541,0,0.637478948,0 
C1OCCC1,3,1.142305249,0,-1.110990483,0 
c1cccc(n1)Br,2,-0.958517998,0,0.961781424,0 
c1ccc(cc1)F,3,-1.394491518,0,1.418937358,0 
c1(ccn(n1)C)N,2,-0.801658871,0,0.828190915,0 
C([C@H](CCCC)N)O,0,0.328499722,0,-0.366200364,0 
COCCNC(C)C,6,1.174625607,0,-1.168848993,0 
C(=CC)(C)C,4,1.245765524,0,-1.118360994,0 
c1(nc(cc(n1)N)N)N,4,-1.389573203,0,1.439574789,0 
C1CCCCC1,0,1.090135976,0,-1.087036323,0 
n1c(c(nc(n1)N)C)C,2,-1.357604153,0,1.339151579,0 
C1CCC=CC1,0,1.163208089,0,-1.168111942,0 
c12c(cccc1)cc[nH]2,7,-0.692577664,0,0.652404232,0 
c12c([C](N=C[N]1)N)cn[nH]2,0,-1.199339793,0,1.280924543,0 
c1ccco1,1,-0.40573449,0,0.431288907,0 
C1OCC=C1,3,-0.756867071,0,0.737902158,0 
C1CC(=O)C=CC1,6,1.080475,0,-1.114675739,0 
OC[C@@H](N)[C@@H](C)CC,1,0.452335875,0,-0.406553911,0 
C(=S)=NC,0,-0.63057176,0,0.785073427,0 
C1CC(=O)C1,0,1.404381193,0,-1.407653544,0 
C(=C\C#N)/C#N,2,-0.592279163,0,0.515312731,0 
C=CCCl,0,-0.603521026,0,0.593255883,0 
COCCNC(C)C,5,0.761487122,0,-0.692898257,0 
C1CCC(=O)C1,3,-2.478277424,0,2.456336757,0 
OCCCCCCN,5,0.942762171,0,-0.975925872,0 
OC[C@@H](N)[C@@H](C)CC,6,1.102958727,0,-1.122230512,0 
C1CC(=C)C1,3,-0.265913812,0,0.340815887,0 
C(CC(C)C)Br,3,1.179543922,0,-1.185801168,0 
c1ccc(c(c1)N)Br,1,-0.535191574,0,0.606891328,0 
C1CC(=C)C1,2,-1.295773904,0,1.185292165,0 
C(=C(\C)/C(C)C)\C,0,-0.547136054,0,0.546084614,0 
c1c(nc[nH]1)CCN,3,-0.856814264,0,0.890840257,0 
C=C(Cl)C,1,-1.119768478,0,0.963071264,0 
C(=O)N(C)C,0,-1.329148186,0,1.404196337,0 
c12c(cccc1)cc[nH]2,6,-0.231485605,0,0.287563946,0 
c1ccccn1,1,-0.669040012,0,0.689256786,0 
c1cncc(n1)N,3,-0.82677741,0,0.854909017,0 
c1(cc([nH]n1)C)N,5,1.408772546,0,-1.380014128,0 
