SMILES,id,QM,Reserve1,NMR,Reserve2
c12c(cccc1)cc[nH]2,5,-1.1454214254885546,111.1,1.101149306499117,7.03
C1CCOCC1,2,0.270342385032428,68.8,-0.28091700262347724,3.56
c1cccs1,0,-1.2061121548166407,125.0,1.129029606683146,7.1
C=CC[N]C=S,2,0.0622912033381937,47.12,-0.047120771080260256,4.147
O1C(=O)C=CC1=O,3,-1.0394958238497098,136.76,1.1083185265464384,7.047999999999999
c1c(cccc1)N(C)C,0,-0.9647377069290213,112.7,0.9139530052634915,6.56
C1CCC(=O)C1,0,0.9180999103354445,23.4,-0.8942836066721214,2.02
C(=CC)(C)C,2,1.1456627413139628,13.4,-1.1093602080917757,1.48
C1CC=CC1=O,1,0.6370444678359628,29.03,-0.6274293049106983,2.69
[C@H]1(CC(=O)O1)C,5,1.0877489508353255,20.58,-1.0763021378735695,1.5630000000000002
C1COC(=O)C1,5,0.9487558536865969,27.7,-0.7787795059097143,2.31
n1ccccn1,2,-1.2966549767763027,127.7,1.288345607734742,7.5
C(=S)=NC,3,0.44021065754673877,30.48,-0.37451515324128976,3.325
c1ccc(o1)C=O,5,-1.941160560531938,178.1,2.13670331333449,9.63
C1CCC(=O)CC1,2,0.7539316701963167,41.9,-0.8026769060674537,2.25
C1CCN(C1)C,4,0.6339386809648694,56.9,-0.7110702054627861,2.48
C1CCC(=O)CC1,1,0.9202922304797463,27.2,-0.985890307276789,1.79
c1ccc(cc1)F,1,-1.1299290298021556,130.2,1.089200606420247,7.0
C[C@@H](C#N)Cl,0,-0.16607547835990266,37.83,0.10542429992664278,4.53
C=CCCl,1,-0.7184305387167228,134.4,0.6510816035283586,5.9
C(=O)(C)C#C,4,0.3766333733619902,78.8,-0.34464340304411567,3.4
C1CCC=CC1,3,-0.6014337203491528,127.3,0.5236288026870818,5.58
C(=O)(C)OC,2,0.8009569372915881,20.4,-0.9022494067247011,2.0
C1CC1,0,1.6077672890636954,-2.9,-1.6112056114043027,0.22
C1COCOC1,1,0.27399625193959687,66.94,-0.14071892169807296,3.912
C1CCN(C1)C,1,0.9709348258131163,24.6,-0.9898732073030787,1.78
C(=O)/C=C/C,3,-1.1213789812393793,154.32,1.0414058061047684,6.88
C(=O)(C)C#C,2,0.6914140074146461,32.2,-0.7508992057256851,2.38
C(C)(Cl)(Cl)Cl,1,0.6233059282650062,45.4,-0.6234464048844083,2.7
c1ccc(cc1)F,2,-1.2397642690316717,115.5,1.089200606420247,7.0
C(=O)(C)N(C)C,4,0.4137931998079035,37.9,-0.4999765040694217,3.01
[C@H]1(CC(=O)O1)C,0,-0.053536377619080845,68.12,0.17472676038408677,4.704
C1OCC=C1,3,-0.6572282680216328,126.34,0.6470987035020684,5.89
c1ccc(cc1)F,0,-1.1528022366410369,124.2,1.089200606420247,7.0
c1ccco1,0,-1.21320065661655,142.8,1.248516607471843,7.4
c1ccc(o1)C=O,0,-1.288506853573314,148.6,1.332157508023931,7.61
C1CC(=C)C1,3,-0.16706202242483745,104.79,0.16715925033413592,4.685
C(=O)N(C)C,0,-1.358003402147679,162.5,1.4436787087600478,7.89
C(=O)C,0,-2.0903114076825977,199.7,2.160600713492229,9.69
CCC#N,1,0.7500220326056453,10.6,-0.7668308058308447,2.34
C1COC1,1,-0.15306771217037826,72.6,0.18508230045244078,4.73
C(=C)(C)C,1,-0.15339656019202405,110.57,0.1333046001106718,4.6
C(=CC)(C)C,3,1.1053240506588116,17.3,-1.0695312078288768,1.58
C1CC=CC1=O,2,-1.4317749750034314,165.25,1.3759694083131195,7.72
c1c(cccc1)C,6,0.808483903120358,21.4,-0.7867453059622941,2.29
C(=CCl)(C)C,4,0.9501808617803923,22.85,-0.9819074072504991,1.8
C1CCC=CC1,2,0.897894026338796,25.4,-0.9141981068035709,1.97
C1OCC=C1,0,-0.1286233425614139,75.42,0.1452533001895416,4.63
c1ncccn1,2,-1.7054861450195027,157.6,1.7822252109946892,8.74
c1ccon1,2,-1.5982816899631476,157.81,1.6826527103374418,8.49
C1=C[C@H]2C[C@@H]1C=C2,2,0.28517708467553554,50.3,-0.29684860272863683,3.52
c1cnccn1,0,-1.6505319867356723,146.1,1.678669810311152,8.48
C1CCN(CC1)C,0,0.8700515605061654,23.85,-1.1332576082495152,1.42
C(=O)(C)C,2,0.7990934651689321,30.6,-0.8584375064355123,2.11
c1ccc(cc1)N(=O)=O,1,-1.392934369780219,129.5,1.3162259079187713,7.57
c1ccccn1,2,-1.369074618876403,135.7,1.3082601078661913,7.55
C1CCN(CC1)C,2,0.6064981404920252,56.59,-0.8106427061200335,2.23
CN(=O)=O,0,0.0777835990245928,63.0,-0.01804560088834421,4.22
c1ncccn1,3,-1.2258430361153558,122.6,1.2166534072615238,7.32
C1CCC1,1,-0.7460537725349237,137.2,0.670996103659808,5.95
c12c(cccc1)cc[nH]2,4,-1.2541239659768484,124.3,1.101149306499117,7.03
CC(C)(C)C#C,2,1.1919937736968738,30.92,-1.2168985088016029,1.21
CC(C)(C)OC,0,1.4027122782333408,27.06,-1.252744609038212,1.12
C(=CC)(C)C,4,0.9522270272484077,25.6,-1.0695312078288768,1.58
c1ccc(cc1)N(=O)=O,0,-1.2958876647257962,134.8,1.3162259079187713,7.57
CCC#N,0,1.2235997224438893,10.9,-1.2009669086964434,1.25
C1C(=O)O[C]1[CH2],0,0.17702262422331733,42.4,-0.14669327173750785,3.897
C1COC(=O)C1,0,0.8770304462988585,22.2,-0.8703862065143819,2.08
C=C(C)Cl,0,-0.33236296130518783,112.63,0.3404154014777466,5.12
